,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,main,description,date,snow.1h,rain.1h
0,stations,10000,1676840202,-14400,3808236,Kilometro Treinta y Tres,200,-61.73,6.45,22.97,23.62,22.97,22.97,1011,88,1011,994,1.09,113,1.94,93,VE,1676802163,1676845149,Clouds,nubes,2023-02-19,,
0,stations,10000,1676840201,7200,353223,Madīnat as Sādāt,200,30.37,30.38,11.48,10.75,11.48,11.48,1025,79,1025,1023,3.86,15,7.16,0,EG,1676781348,1676821759,Clear,cielo claro,2023-02-19,,
0,stations,10000,1676840201,-10800,3864283,Bernasconi,200,-64.08,-37.85,33.14,30.72,33.14,33.14,1008,10,1008,986,6.92,285,8.54,1,AR,1676800211,1676848229,Clear,cielo claro,2023-02-19,,
0,stations,10000,1676840194,-18000,6076235,Monet,200,-75.59,47.77,-0.71,-6.74,-0.71,-0.71,1006,89,1006,955,6.8,182,16.07,100,CA,1676808128,1676845837,Snow,nevada ligera,2023-02-19,0.15,
0,stations,10000,1676840193,-10800,3387204,Soure,200,-48.31,0.5,25.43,26.2,25.43,25.43,1010,83,1010,1010,6.6,74,7.27,100,BR,1676798656,1676842215,Rain,lluvia moderada,2023-02-19,,1.54
0,stations,10000,1676840193,10800,0,,200,47.9,-32.09,22.49,22.94,22.49,22.49,1015,82,1015,1015,3.79,30,4.35,16,,1676773756,1676820937,Clouds,algo de nubes,2023-02-19,,
0,stations,10000,1676840193,-3600,0,,200,-9.38,0.62,27.38,30.37,27.38,27.38,1011,78,1011,1011,2.93,139,3.18,37,,1676789319,1676832866,Clouds,nubes dispersas,2023-02-19,,
0,stations,1734,1676840193,7200,640660,Puolanka,200,27.52,64.76,-8.9,-13.43,-8.9,-8.9,1002,96,1002,975,2.4,123,5.81,97,FI,1676786199,1676818276,Clouds,nubes,2023-02-19,,
0,stations,10000,1676840192,-18000,0,,200,-70.95,66.32,-39.39,-46.39,-39.39,-39.39,1009,96,1009,1005,2.77,194,2.73,81,,1676810221,1676841517,Clouds,muy nuboso,2023-02-19,,
0,stations,10000,1676840192,-18000,0,,200,-70.71,33.25,17.71,17.18,17.71,17.71,1026,63,1026,1026,7.28,131,7.67,100,,1676805775,1676845847,Clouds,nubes,2023-02-19,,
