,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.sunrise,sys.sunset,main,description,date,snow.1h,sys.country
0,stations,10000,1676902284,-18000,0,,200,-70.71,33.25,19.11,18.98,19.11,19.11,1019,73,1019,1019,7.33,214,8.31,100,1676892111,1676932300,Clouds,nubes,2023-02-20,,
0,stations,10000,1676902285,-18000,0,,200,-70.95,66.32,-42.32,-49.32,-42.32,-42.32,1009,96,1009,1005,3.22,82,4.4,24,1676896393,1676928133,Clouds,algo de nubes,2023-02-20,,
0,stations,545,1676902285,7200,640660,Puolanka,200,27.52,64.76,-9.54,-15.99,-9.54,-9.54,997,93,997,970,3.98,130,8.99,100,1676872389,1676904874,Snow,nevada ligera,2023-02-20,0.12,FI
0,stations,10000,1676902285,-3600,0,,200,-9.38,0.62,27.4,30.53,27.4,27.4,1009,79,1009,1009,4.51,113,4.77,73,1676875713,1676919261,Clouds,muy nuboso,2023-02-20,,
0,stations,10000,1676902286,10800,0,,200,47.9,-32.09,24.85,25.66,24.85,24.85,1015,87,1015,1015,7.82,17,10.11,8,1676860207,1676907275,Clear,cielo claro,2023-02-20,,
0,stations,10000,1676902286,-10800,3387204,Soure,200,-48.31,0.5,27.05,29.38,27.05,27.05,1011,75,1011,1011,6.18,63,6.88,94,1676885050,1676928610,Clouds,nubes,2023-02-20,,BR
0,stations,400,1676902286,-18000,6076235,Monet,200,-75.59,47.77,-14.63,-21.63,-14.63,-14.63,1007,93,1007,954,4.29,339,8.76,100,1676894423,1676932331,Snow,nevada ligera,2023-02-20,0.16,CA
0,stations,10000,1676902286,-10800,3864283,Bernasconi,200,-64.08,-37.85,26.79,26.08,26.79,26.79,1014,24,1014,992,6.75,16,7.85,24,1676886676,1676934553,Clouds,algo de nubes,2023-02-20,,AR
0,stations,10000,1676902287,7200,353223,Madīnat as Sādāt,200,30.37,30.38,19.34,18.37,19.34,19.34,1021,40,1021,1019,7.5,336,6.76,0,1676867690,1676908206,Clear,cielo claro,2023-02-20,,EG
0,stations,10000,1676902287,-14400,3808236,Kilometro Treinta y Tres,200,-61.73,6.45,26.44,26.44,26.44,26.44,1014,60,1014,997,0.95,111,2.56,67,1676888547,1676931553,Clouds,muy nuboso,2023-02-20,,VE
