,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,rain.1h,clouds.all,sys.sunrise,sys.sunset,main,description,date,sys.country,snow.1h
0,stations,8595,1677005784,-18000,0,,200,-70.71,33.25,21.09,21.5,21.09,21.09,1009,86,1009,1009,13.94,250,18.9,0.13,100,1676978446,1677018752,Rain,lluvia ligera,2023-02-21,,
0,stations,3882,1677005785,-18000,0,,200,-70.95,66.32,-33.85,-40.85,-33.85,-33.85,1004,93,1004,1000,5.0,228,6.73,,100,1676982564,1677014749,Clouds,nubes,2023-02-21,,
0,stations,10000,1677005785,7200,640660,Puolanka,200,27.52,64.76,-20.7,-25.08,-20.7,-20.7,1017,100,1017,989,1.4,90,1.3,,55,1676958579,1676991472,Clouds,muy nuboso,2023-02-21,FI,
0,stations,10000,1677005785,-3600,0,,200,-9.38,0.62,27.45,30.65,27.45,27.45,1010,79,1010,1010,3.1,150,2.98,,17,1676962106,1677005656,Clouds,algo de nubes,2023-02-21,,
0,stations,10000,1677005786,10800,0,,200,47.9,-32.09,25.14,26.11,25.14,25.14,1017,92,1017,1017,5.96,341,8.49,0.12,15,1676946658,1676993612,Rain,lluvia ligera,2023-02-21,,
0,stations,10000,1677005786,-10800,3387204,Soure,200,-48.31,0.5,27.08,29.44,27.08,27.08,1009,75,1009,1009,3.75,34,4.13,4.21,15,1676971443,1677015004,Rain,lluvia de gran intensidad,2023-02-21,BR,
0,stations,178,1677005787,-18000,6076235,Monet,200,-75.59,47.77,-10.85,-17.66,-10.85,-10.85,1000,93,1000,948,4.05,128,8.69,,100,1676980716,1677018824,Snow,nieve,2023-02-21,CA,0.67
0,stations,10000,1677005787,-10800,3864283,Bernasconi,200,-64.08,-37.85,35.45,32.88,35.45,35.45,1007,13,1007,985,5.77,354,6.29,,0,1676973140,1677020875,Clear,cielo claro,2023-02-21,AR,
0,stations,10000,1677005787,7200,353223,Madīnat as Sādāt,200,30.37,30.38,14.33,13.57,14.33,14.33,1020,67,1020,1018,4.02,348,6.62,,0,1676954032,1676994652,Clear,cielo claro,2023-02-21,EG,
0,stations,10000,1677005787,-14400,3808236,Kilometro Treinta y Tres,200,-61.73,6.45,27.87,29.37,27.87,27.87,1011,61,1011,994,0.45,106,1.57,,97,1676974931,1677017957,Clouds,nubes,2023-02-21,VE,
