,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.sunrise,sys.sunset,main,description,date,sys.country
0,stations,10000,1677074010,-18000,0,,200,-70.71,33.25,20.32,20.65,20.32,20.32,1022,86,1022,1022,3.91,255,4.56,58,1677064780,1677105204,Clouds,muy nuboso,2023-02-22,
0,stations,10000,1677074011,-18000,0,,200,-70.95,66.32,-41.53,-48.53,-41.53,-41.53,1012,97,1012,1008,1.74,163,1.94,63,1677068736,1677101363,Clouds,muy nuboso,2023-02-22,
0,stations,10000,1677074011,7200,640660,Puolanka,200,27.52,64.76,-13.6,-13.6,-13.6,-13.6,1021,97,1021,993,1.12,208,1.09,70,1677044769,1677078069,Clouds,muy nuboso,2023-02-22,FI
0,stations,10000,1677074011,-3600,0,,200,-9.38,0.62,27.72,30.62,27.72,27.72,1010,74,1010,1010,4.18,155,4.12,98,1677048499,1677092050,Clouds,nubes,2023-02-22,
0,stations,10000,1677074012,10800,0,,200,47.9,-32.09,23.76,24.57,23.76,23.76,1018,91,1018,1018,8.11,165,7.46,100,1677033108,1677079948,Clouds,nubes,2023-02-22,
0,stations,9735,1677074012,-10800,3387204,Soure,200,-48.31,0.5,25.43,26.22,25.43,25.43,1015,84,1015,1015,3.84,213,3.63,100,1677057836,1677101397,Clouds,nubes,2023-02-22,BR
0,stations,10000,1677074013,-18000,6076235,Monet,200,-75.59,47.77,-21.6,-27.83,-21.6,-21.6,1026,90,1026,970,2.1,323,4.63,100,1677067009,1677105318,Clouds,nubes,2023-02-22,CA
0,stations,10000,1677074013,-10800,3864283,Bernasconi,200,-64.08,-37.85,31.92,30.02,31.92,31.92,1009,22,1009,987,7.83,345,8.92,3,1677059605,1677107197,Clear,cielo claro,2023-02-22,AR
0,stations,10000,1677074013,7200,353223,Madīnat as Sādāt,200,30.37,30.38,18.76,17.84,18.76,18.76,1017,44,1017,1015,4.47,318,4.93,3,1677040372,1677081098,Clear,cielo claro,2023-02-22,EG
0,stations,10000,1677074014,-14400,3808236,Kilometro Treinta y Tres,200,-61.73,6.45,22.63,23.01,22.63,22.63,1018,79,1018,1001,0.83,42,2.82,100,1677061314,1677104360,Clouds,nubes,2023-02-22,VE
